serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
598016,5.128339,469,598016,1280.0044529438019,0.8916716203093529,0.0018260619,-0.0029930102,9.6795025,0.017285157,292,1512.88,1005.6015815400001
600064,5.1388144,468,600064,1284.3707337379456,0.6009058058261871,0.0045126555,-0.0071000904,38.45317,0.046875,293,1465.35,969.9853393600002
602112,5.1630673,462,602112,1288.7392883300781,0.8838741555809975,0.004642536,-0.00446414,5.787592,0.05317383,294,1447.42,955.5472226900002
604160,5.174415,481,604160,1293.1705558300018,0.8801231384277344,0.002041112,-0.0020037843,9.742832,0.021679688,295,1465.22,966.7399761800001
606208,5.174203,469,606208,1297.426387310028,0.9030184149742126,0.0026670953,-0.0046107355,9.861366,0.029443359,296,1465.22,966.8086605600001
608256,5.1690974,459,608256,1301.7872896194458,0.8688277453184128,0.001865012,-0.0027888094,11.608152,0.018652344,297,1465.22,966.40107867
610304,5.164896,465,610304,1306.2466914653778,0.8585651218891144,0.0019503612,-0.0014923641,13.362569,0.01845703,298,1465.22,965.3197338600002
612352,5.1614537,472,612352,1310.6451261043549,0.8941873610019684,0.0025755994,-0.002052852,14.216568,0.02836914,299,1456.16,959.9451635400001
614400,5.1634035,469,614400,1314.9768686294556,0.7933444529771805,0.0045705647,-0.0021131027,15.372418,0.05307617,300,1469.29,970.0454920000001
616448,5.1684594,461,616448,1319.343032836914,0.8449069857597351,0.0062847445,-0.00576228,20.969526,0.06948242,301,1479.18,977.50138864
618496,5.17563,470,618496,1323.7855677604675,0.8979302570223808,0.0028280055,-0.0028800876,9.9172945,0.029101562,302,1479.18,979.0599338700001
620544,5.1658783,462,620544,1328.135585308075,0.8754764199256897,0.003082916,-0.0018264281,12.755442,0.034082033,303,1479.18,982.14441382
622592,5.1723723,463,622592,1332.5633857250214,0.7522242516279221,0.004593319,-0.002875176,10.685228,0.053808592,304,1479.18,980.3036040900001
624640,5.175935,474,624640,1336.9784157276154,0.8563618063926697,0.0033982855,-0.003739046,10.266114,0.035888672,305,1479.18,979.6986376000002
626688,5.169695,460,626688,1341.2933354377747,0.8846420347690582,0.0030554724,-0.003296433,18.514645,0.03354492,306,1468.68,971.598963
628736,5.162887,446,628736,1345.742549419403,0.8973728492856026,0.0017900269,-0.002338685,9.028948,0.01669922,307,1480.62,980.5423605600001
630784,5.1615725,458,630784,1350.3342258930206,0.8944668397307396,0.0022864798,-0.0009603506,11.381178,0.021533202,308,1498.47,994.2721005400001
