fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
285,844,0.6997107565402985,12.009714,860.69991244,-0.0008168566,1337.82,5714.576063871384,3.3272285,1728512,0.003655692,0.039111327,1728512
284,845,0.6262485980987549,14.112028,862.41220906,-0.0036134315,1337.82,5721.74623298645,3.3243785,1730560,0.0037256125,0.04160156,1730560
285,846,0.7392281591892242,9.450455,863.8498918800001,-0.0048197513,1337.82,5728.9441821575165,3.3326447,1732608,0.0035184287,0.04067383,1732608
290,847,0.863269567489624,13.694822,847.7606635200001,-0.0054264194,1313.76,5736.128212213516,3.3449821,1734656,0.0040691122,0.041650392,1734656
275,848,0.8341688364744186,10.21459,836.4524058500001,-0.0023389745,1297.62,5743.187307834625,3.359036,1736704,0.005182896,0.06298828,1736704
279,849,0.7489133179187775,13.235529,836.5734525099999,-0.0015570966,1297.62,5750.619849205017,3.365216,1738752,0.005100604,0.05620117,1738752
292,850,0.8659596145153046,10.372787,842.48726141,-0.0025626938,1304.75,5757.945088863373,3.384449,1740800,0.0039087194,0.04111328,1740800
279,851,0.7912459969520569,14.334282,852.3871502400001,-0.0027330755,1317.44,5764.951039552689,3.401614,1742848,0.005377938,0.057910156,1742848
288,852,0.8630876243114471,13.706392,851.1467734000001,-0.0035879146,1314.82,5772.278709411621,3.4056141,1744896,0.0030683456,0.032958984,1744896
294,853,0.8657458275556564,15.625986,838.37146397,-0.001696582,1295.88,5779.367311000824,3.4172816,1746944,0.0029572556,0.031591795,1746944
289,854,0.9079985320568085,4.4166284,838.76202978,-0.0068433187,1296.73,5786.333682537079,3.4163513,1748992,0.0048957774,0.058154296,1748992
275,855,0.8607416152954102,5.274961,845.85577093,-0.004759327,1306.31,5793.398982048035,3.4016557,1751040,0.0070830085,0.07856445,1751040
292,856,0.8240620791912079,19.236439,853.9057126299998,-0.005176501,1317.71,5800.824844360352,3.4018092,1753088,0.0027730924,0.027978515,1753088
294,857,0.7747937887907028,19.362589,854.32153591,-0.0041641733,1315.77,5807.836855649948,3.4065137,1755136,0.0033445484,0.038427733,1755136
289,858,0.8733264058828354,9.7152,854.6892238,0.00019384858,1314.83,5814.79821062088,3.4073918,1757184,0.0032622677,0.03540039,1757184
298,859,0.8605470359325409,14.156393,849.58487658,-0.0038227506,1307.01,5821.863067388535,3.408219,1759232,0.0032486606,0.03305664,1759232
291,860,0.8861581236124039,11.60007,836.4059464500001,-0.0011562211,1289.07,5828.727256059647,3.4094963,1761280,0.0027284278,0.030126953,1761280
283,861,0.9124613404273987,4.3587704,826.90038856,-0.0044511007,1276.52,5835.74604845047,3.422015,1763328,0.0034763135,0.038671874,1763328
285,862,0.7105576694011688,17.071054,828.765472,-0.0063026673,1278.95,5842.974638700485,3.4203124,1765376,0.010174597,0.113378905,1765376
297,863,0.8343573212623596,21.625074,786.3416502099999,-0.0055614565,1216.24,5850.160772323608,3.4223323,1767424,0.0044288915,0.04550781,1767424
286,864,0.8782513365149498,9.193382,769.2454017999999,-0.0053377766,1189.47,5857.044687509537,3.4327958,1769472,0.004290108,0.039697267,1769472
291,865,0.8753681853413582,12.405192,766.0329918499999,-0.0074678063,1183.38,5864.19669175148,3.4528205,1771520,0.0039970772,0.046679687,1771520
288,866,0.8148178309202194,20.78756,760.84632117,-0.0061126263,1168.3,5871.227774858475,3.4742515,1773568,0.003703562,0.040039062,1773568
303,867,0.7461858987808228,22.973244,721.7078361,-0.005259269,1110.41,5878.31533741951,3.4789486,1775616,0.0037924387,0.04067383,1775616
292,868,0.8684679716825485,11.832343,690.5205528299998,-0.0029191144,1064.96,5885.055619478226,3.4904027,1777664,0.0045200023,0.054833986,1777664
