total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
1669120,0.0578125,-0.0054936,521,3350.7925260066986,1669120,9.807252,1293.5457128899998,1713.02,0.005078228,815,5.9297795,0.6349451541900635
1671168,0.046728514,-0.0033441833,507,3354.7234568595886,1671168,20.064611,1294.78020027,1713.02,0.004099301,816,5.9252863,0.8688884079456329
1673216,0.023876954,-0.0032591026,541,3358.7577493190765,1673216,10.585253,1290.32292191,1713.02,0.0023989738,817,5.9158163,0.6739794015884399
1675264,0.049951173,-0.0053230743,504,3362.5420339107513,1675264,21.051609,1290.3849141100002,1713.02,0.00406892,818,5.915256,0.8627946078777313
1677312,0.031982422,-0.0029436606,501,3366.605934858322,1677312,19.663473,1290.87951318,1713.02,0.0029070862,819,5.9194927,0.8659235537052155
1679360,0.03652344,-0.004596443,504,3370.688884496689,1679360,19.964819,1289.7639641100002,1713.02,0.0038373135,820,5.9067535,0.8823511227965355
1681408,0.017822266,-0.0015046832,527,3374.7456510066986,1681408,8.937829,1288.6731686399999,1710.72,0.0016460553,821,5.894326,0.8095976412296295
1683456,0.037402343,-0.0022698054,503,3378.6288850307465,1683456,10.660008,1283.21156812,1710.72,0.0046895244,822,5.89023,0.9463837333023548
1685504,0.023242187,-0.0025248681,504,3382.6990134716034,1685504,20.310362,1297.62044485,1724.03,0.0024004278,823,5.87678,0.8866475820541382
1687552,0.016455078,-0.0027867788,539,3386.758560657501,1687552,35.93948,1283.88691106,1706.01,0.0018544212,824,5.8639774,0.8220210075378418
1689600,0.045800783,-0.005049088,506,3390.556437253952,1689600,21.006348,1286.2194888600002,1706.01,0.0046205935,825,5.863132,0.8809738755226135
1691648,0.034228515,-0.0072133266,495,3394.598565340042,1691648,3.5291524,1273.76061374,1692.31,0.0037495536,826,5.851128,0.9788407050073147
1693696,0.025634766,-0.0041468428,524,3398.7314381599426,1693696,23.025236,1259.05511596,1676.54,0.0025146697,827,5.836626,0.9136519655585289
